,SampleID,pair,16S (SILVA) clean reads,16S (RDP) clean reads,ITS clean reads,powerplant,site,type,treatment,temperature,depth,Cl,Br,SO4,F,SO3,Acetate,Acetate_C,Propionate,Propionate_C,Formate,Formate_C,DOC,HOC,Makro1,Makro2,Makro3,LMWA,LMWN,sampleid_original,original_order
X222,X222,117,30777,30777,1740,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,222,216
X17,X17,11,62831,57151,1748,Insheim,Production,Production,direct,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,17,11
X47,X47,17,11336,10764,1779,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,47,41
X236,X236,101,44965,43869,1830,Theistareykir,PN-2,Injection,spores,185,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,230
X84,X84,39,29761,26473,1856,Bad Blumau,Production,Production,spores,110,2843,4.08,8.87,532.25,10.21,NA,16.22,6.6,1.37,0.68,NA,NA,8.76,1.32,1.61,0,0,4.93,0.96,84,78
X172,X172,87,57633,53956,1873,Krafla,K-26,Injection,direct,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,172,166
B21,B21,NA,34086,34086,1879,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B21,282
X257,X257,122,31828,31828,1937,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,257,251
X245,X245,110,9693,9477,1947,Theistareykir,PG-14,Injection,spores,185,2500,0.06,0,20.27,1.2,37.8,0,NA,NA,NA,1.7,0.45,0.35,0,0,0,0,0.02,0.33,245,239
B20,B20,NA,19763,19471,1986,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B20,281
B10,B10,NA,27315,27315,1989,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B10,271
X104,X104,54,43319,43296,2049,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,104,98
X32,X32,14,35790,34142,2078,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,32,26
X185,X185,80,63835,63938,2127,Krafla,K-26,Injection,spores,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,185,179
X89,X89,44,54666,52769,2182,Neustadt-Glewe,Production,Production,direct,97,2455,135.2,339.32,442.54,0.56,NA,42.11,17.13,0,NA,0,NA,19.49,1.8,0.13,0,0,9.04,8.52,89,83
X255,X255,120,22355,22355,2216,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,255,249
X218,X218,113,38571,37353,2217,Theistareykir,PG-14,Injection,direct,185,2500,0.06,0,20.27,1.2,37.8,0,NA,NA,NA,1.7,0.45,0.35,0,0,0,0,0.02,0.33,218,212
