SampleID	pair	powerplant	site	type	treatment	temperature	depth	Cl	Br	SO4	F	SO3	Acetate	Acetate_C 	Propionate	Propionate_C	Formate	Formate_C	DOC	HOC	Makro1	Makro2	Makro3	LMWA	LMWN	sampleid_original	original_order
X175	90	Krafla	K-06	Production	direct	341.5	2000	0.03	0	251.42	1.21	54.63	1.34	0.55	NA	NA	1.36	0.36	0.53	0	0	0	0	0.26	0.27	175	169
X176	91	Krafla	K-06	Production	direct	341.5	2000	0.03	0	251.42	1.21	54.63	1.34	0.55	NA	NA	1.36	0.36	0.53	0	0	0	0	0.26	0.27	176	170
X177	92	Krafla	K-06	Production	direct	341.5	2000	0.03	0	251.42	1.21	54.63	1.34	0.55	NA	NA	1.36	0.36	0.53	0	0	0	0	0.26	0.27	177	171
X178	93	Krafla	K-06	Production	direct	341.5	2000	0.03	0	251.42	1.21	54.63	1.34	0.55	NA	NA	1.36	0.36	0.53	0	0	0	0	0.26	0.27	178	172
X179	94	Krafla	K-06	Production	direct	341.5	2000	0.03	0	251.42	1.21	54.63	1.34	0.55	NA	NA	1.36	0.36	0.53	0	0	0	0	0.26	0.27	179	173
X18	12	Insheim	Production	Production	direct	165	3650	76.26	170.58	117.06	5.5	0	0.6	0.14	NA	NA	0	NA	1.81	0	0.03	0	0	0.26	1.52	18	12
X180	95	Krafla	K-32	Injection	direct	174.4	1875	0.05	0	326.43	1.2	106.52	1.96	0.8	NA	NA	3.35	0.89	0.75	0	0	0	0	0.32	0.43	180	174
X181	96	Krafla	K-32	Injection	direct	174.4	1875	0.05	0	326.43	1.2	106.52	1.96	0.8	NA	NA	3.35	0.89	0.75	0	0	0	0	0.32	0.43	181	175
X182	97	Krafla	K-32	Injection	direct	174.4	1875	0.05	0	326.43	1.2	106.52	1.96	0.8	NA	NA	3.35	0.89	0.75	0	0	0	0	0.32	0.43	182	176
X183	98	Krafla	K-32	Injection	direct	174.4	1875	0.05	0	326.43	1.2	106.52	1.96	0.8	NA	NA	3.35	0.89	0.75	0	0	0	0	0.32	0.43	183	177
X184	99	Krafla	K-32	Injection	direct	174.4	1875	0.05	0	326.43	1.2	106.52	1.96	0.8	NA	NA	3.35	0.89	0.75	0	0	0	0	0.32	0.43	184	178
X185	80	Krafla	K-26	Injection	spores	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	185	179
X186	81	Krafla	K-26	Injection	spores	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	186	180
X187	82	Krafla	K-26	Injection	spores	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	187	181
X188	83	Krafla	K-26	Injection	spores	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	188	182
X189	84	Krafla	K-26	Injection	spores	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	189	183
X19	1	Insheim	Injection	Injection	spores	65	3850	77.4	178	144.94	5.5	NA	0	0.12	NA	NA	0	NA	NA	0	0	0	0	0.35	13.89	19	13
X190	85	Krafla	K-26	Injection	spores	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	190	184
X191	86	Krafla	K-26	Injection	spores	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	191	185
X192	87	Krafla	K-26	Injection	spores	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	192	186
X193	88	Krafla	K-26	Injection	spores	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	193	187
X194	89	Krafla	K-26	Injection	spores	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	194	188
X195	90	Krafla	K-06	Production	spores	341.5	2000	0.03	0	251.42	1.21	54.63	1.34	0.55	NA	NA	1.36	0.36	0.53	0	0	0	0	0.26	0.27	195	189
X196	91	Krafla	K-06	Production	spores	341.5	2000	0.03	0	251.42	1.21	54.63	1.34	0.55	NA	NA	1.36	0.36	0.53	0	0	0	0	0.26	0.27	196	190
X197	92	Krafla	K-06	Production	spores	341.5	2000	0.03	0	251.42	1.21	54.63	1.34	0.55	NA	NA	1.36	0.36	0.53	0	0	0	0	0.26	0.27	197	191
X198	93	Krafla	K-06	Production	spores	341.5	2000	0.03	0	251.42	1.21	54.63	1.34	0.55	NA	NA	1.36	0.36	0.53	0	0	0	0	0.26	0.27	198	192
X199	94	Krafla	K-06	Production	spores	341.5	2000	0.03	0	251.42	1.21	54.63	1.34	0.55	NA	NA	1.36	0.36	0.53	0	0	0	0	0.26	0.27	199	193
X20	2	Insheim	Injection	Injection	spores	65	3850	77.4	178	144.94	5.5	NA	0	0.12	NA	NA	0	NA	NA	0	0	0	0	0.35	13.89	20	14
X200	95	Krafla	K-32	Injection	spores	174.4	1875	0.05	0	326.43	1.2	106.52	1.96	0.8	NA	NA	3.35	0.89	0.75	0	0	0	0	0.32	0.43	200	194
X201	96	Krafla	K-32	Injection	spores	174.4	1875	0.05	0	326.43	1.2	106.52	1.96	0.8	NA	NA	3.35	0.89	0.75	0	0	0	0	0.32	0.43	201	195
X202	97	Krafla	K-32	Injection	spores	174.4	1875	0.05	0	326.43	1.2	106.52	1.96	0.8	NA	NA	3.35	0.89	0.75	0	0	0	0	0.32	0.43	202	196
X203	98	Krafla	K-32	Injection	spores	174.4	1875	0.05	0	326.43	1.2	106.52	1.96	0.8	NA	NA	3.35	0.89	0.75	0	0	0	0	0.32	0.43	203	197
X204	99	Krafla	K-32	Injection	spores	174.4	1875	0.05	0	326.43	1.2	106.52	1.96	0.8	NA	NA	3.35	0.89	0.75	0	0	0	0	0.32	0.43	204	198
X205	100	Theistareykir	PN-2	Injection	direct	185	444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	205	199
X206	101	Theistareykir	PN-2	Injection	direct	185	444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	206	200
X207	102	Theistareykir	PN-2	Injection	direct	185	444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	207	201
X208	103	Theistareykir	PN-2	Injection	direct	185	444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	208	202
